City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
493,Isangel,VU,77.76,overcast clouds,-19.55,169.2667,Tanna Lodge
495,Rosarito,MX,86.23,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
496,Zalantun,CN,82.02,overcast clouds,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
500,Hambantota,LK,79.36,overcast clouds,6.1241,81.1185,Bungalow 63
502,Caucaia,BR,79.03,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
503,Cairns,AU,82.11,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
508,Kharsawan,IN,80.24,overcast clouds,22.8,85.8333,Pardhandih(Dabra)
509,Guayaramerin,BO,77.11,broken clouds,-10.8368,-65.3614,Hostal FÜNF
513,Coahuayana,MX,80.37,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
515,Bang Saphan,TH,84.27,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
516,Timbiqui,CO,75.54,light rain,2.7717,-77.6654,Hotel Sharey
518,Sagua La Grande,CU,79.79,scattered clouds,22.8067,-80.0756,Hotel Telégrafo
519,Bitung,ID,85.05,overcast clouds,1.4451,125.1824,K2 Lembeh
525,Sur,OM,80.35,clear sky,22.5667,59.5289,Sur Plaza Hotel
526,Buloh Kasap,MY,81.75,broken clouds,2.5536,102.764,Teratak Ixora Segamat
528,Portland,US,84.87,smoke,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
534,Carlagan,PH,83.88,heavy intensity rain,14.975,122.0456,Cabatagan Island
549,Labuhan,ID,85.78,scattered clouds,-6.8844,112.2051,DoubleFAG
552,Jaru,BR,85.14,scattered clouds,-10.4389,-62.4664,Hotel Paraná
553,Milton,US,76.01,overcast clouds,34.1322,-84.3007,Pine Ridge Manufactured House
554,West Des Moines,US,83.34,few clouds,41.572,-93.7453,Sheraton West Des Moines Hotel
555,Nhulunbuy,AU,77.61,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
558,Bubaque,GW,78.06,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
561,Mahuva,IN,81.88,clear sky,21.0914,71.7622,Hotel Blue Diamond.
562,Barmer,IN,82.31,broken clouds,25.75,71.3833,Jain Dharamshala
563,San Ramon,US,86.83,clear sky,37.7799,-121.978,San Ramon Marriott
564,Mayo,US,77.95,broken clouds,38.8876,-76.5119,Resorts Resource Group International
572,Nouadhibou,MR,80.58,broken clouds,20.931,-17.0347,El Medina
577,Gerash,IR,81.7,overcast clouds,27.6652,54.1371,Sa'adat House Gerash
581,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
582,Tagusao,PH,85.3,overcast clouds,9.1924,117.8141,Caycay future beach resort
