City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Williams Lake,CA,2022-09-03 01:58:05,52.1415,-122.1445,89.17,15,75,4.61,broken clouds
119,El Alto,PE,2022-09-03 01:59:33,-4.2714,-81.2147,60.94,86,12,17.34,few clouds
120,Ixtapa,MX,2022-09-03 01:59:33,20.7,-105.2,79.0,91,99,0.67,overcast clouds
121,Tasiilaq,GL,2022-09-03 01:59:34,65.6145,-37.6368,35.8,65,100,8.34,overcast clouds
122,Shepsi,RU,2022-09-03 01:59:35,44.0361,39.1489,76.23,73,93,5.88,overcast clouds
123,Surin,TH,2022-09-03 01:59:35,14.8818,103.4936,82.78,71,100,6.51,overcast clouds
124,Puksoozero,RU,2022-09-03 01:59:35,62.5903,40.6066,42.01,96,100,10.67,overcast clouds
125,Hobyo,SO,2022-09-03 01:59:36,5.3505,48.5268,75.24,78,100,24.96,overcast clouds
126,La Ronge,CA,2022-09-03 01:59:36,55.1001,-105.2842,68.22,52,20,8.05,few clouds
127,Xining,CN,2022-09-03 02:00:37,36.6167,101.7667,50.74,77,100,2.71,overcast clouds
128,Changli,CN,2022-09-03 02:00:38,39.7042,119.1506,74.48,61,98,3.83,overcast clouds
129,Obihiro,JP,2022-09-03 02:00:38,42.9172,143.2044,67.78,77,100,3.38,overcast clouds
130,Brza Palanka,RS,2022-09-03 02:00:38,44.4709,22.444,60.57,92,100,4.21,overcast clouds
131,Belaya Gora,RU,2022-09-03 02:00:39,68.5333,146.4167,38.1,62,100,11.16,overcast clouds
132,Halifax,CA,2022-09-03 01:58:57,44.6453,-63.5724,57.22,87,0,1.01,clear sky
133,Rocha,UY,2022-09-03 02:00:39,-34.4833,-54.3333,43.43,83,22,9.93,few clouds
134,Grand Gaube,MU,2022-09-03 02:00:39,-20.0064,57.6608,68.4,68,0,16.64,clear sky
135,Dauphin,CA,2022-09-03 01:56:32,51.1494,-100.0502,62.74,72,0,5.75,clear sky
136,Carnarvon,AU,2022-09-03 02:00:40,-24.8667,113.6333,68.14,66,49,15.64,scattered clouds
137,Abha,SA,2022-09-03 02:00:40,18.2164,42.5053,65.97,42,37,5.7,scattered clouds
138,Innisfail,AU,2022-09-03 01:59:32,-17.5333,146.0333,77.2,81,66,8.59,broken clouds
139,Akyab,MM,2022-09-03 02:00:41,20.15,92.9,82.74,78,68,3.71,broken clouds
140,Puerto Ayora,EC,2022-09-03 02:00:41,-0.7393,-90.3518,68.56,88,50,5.99,scattered clouds
141,Iqaluit,CA,2022-09-03 01:57:05,63.7506,-68.5145,40.73,93,75,2.3,broken clouds
142,Maragogi,BR,2022-09-03 02:00:41,-9.0122,-35.2225,74.08,77,25,10.04,scattered clouds
143,Adrar,MR,2022-09-03 02:00:41,20.5022,-10.0711,91.99,31,98,4.79,overcast clouds
144,Nagorsk,RU,2022-09-03 02:00:42,59.3172,50.8078,43.56,89,100,10.71,overcast clouds
145,Juegang,CN,2022-09-03 02:00:42,32.3174,121.1855,82.9,91,100,17.11,overcast clouds
