City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
229,Sokoto,NG,2022-08-29 21:41:34,13.0609,5.239,79.54,70,52,4.47
230,Nanortalik,GL,2022-08-29 21:41:35,60.1432,-45.2371,40.15,89,98,10.96
231,Tambopata,PE,2022-08-29 21:41:35,-12.7333,-69.1833,82.29,36,0,3.44
232,Thinadhoo,MV,2022-08-29 21:41:35,0.5333,72.9333,80.4,78,100,18.07
233,Tucurui,BR,2022-08-29 21:41:35,-3.7661,-49.6725,82.87,34,64,3.06
234,Ivanava,BY,2022-08-29 21:41:36,52.1451,25.5365,63.64,87,53,8.68
235,Colares,PT,2022-08-29 21:41:36,38.7992,-9.4469,69.76,74,20,11.99
236,Shubarshi,KZ,2022-08-29 21:41:36,48.5872,57.1869,76.12,30,43,4.0
237,Karaton,ID,2022-08-29 21:41:37,-6.3424,106.1045,70.97,94,83,2.55
238,Ixtapa,MX,2022-08-29 21:41:37,20.7,-105.2,88.83,62,40,11.5
239,Usinsk,RU,2022-08-29 21:41:37,65.9939,57.5281,48.74,93,100,6.22
240,Nakusp,CA,2022-08-29 21:41:37,50.2499,-117.8023,77.34,41,33,1.14
241,Muncar,ID,2022-08-29 21:41:38,-8.4333,114.3333,74.64,92,94,2.91
242,Gorontalo,ID,2022-08-29 21:41:38,0.5412,123.0595,74.8,96,98,1.77
243,Asyut,EG,2022-08-29 21:41:38,27.181,31.1837,89.78,37,0,8.9
244,Betsiamites,CA,2022-08-29 21:41:39,48.9413,-68.646,75.6,86,100,6.2
245,Kyra,RU,2022-08-29 21:41:39,49.5776,111.9753,36.63,90,4,3.31
246,Bathsheba,BB,2022-08-29 21:41:39,13.2167,-59.5167,86.61,74,40,16.11
247,Ahuimanu,US,2022-08-29 21:41:40,21.4447,-157.8378,85.17,66,75,13.8
248,Longyearbyen,SJ,2022-08-29 21:37:31,78.2186,15.6401,39.04,70,75,3.44
249,Havoysund,NO,2022-08-29 21:41:40,70.9963,24.6622,43.03,73,100,12.48
250,Zelenoborsk,RU,2022-08-29 21:41:40,61.4669,64.0333,59.02,93,36,6.67
251,Biltine,TD,2022-08-29 21:41:41,14.5333,20.9167,78.19,64,100,6.73
252,Castro,BR,2022-08-29 21:37:00,-24.7911,-50.0119,45.59,70,89,9.8
253,Biak,ID,2022-08-29 21:40:40,-0.9131,122.8766,74.73,89,53,6.06
254,Salalah,OM,2022-08-29 21:41:41,17.0151,54.0924,77.09,88,75,6.91
255,Sangin,AF,2022-08-29 21:41:41,32.0728,64.8359,80.19,14,0,2.37
256,Papayal,PE,2022-08-29 21:41:42,-4.0761,-80.7361,79.16,59,89,5.75
257,Saint-Leu,RE,2022-08-29 21:41:42,-21.15,55.2833,67.32,79,90,2.71
258,Wewak,PG,2022-08-29 21:41:42,-3.5534,143.6268,78.48,87,100,5.3
259,Puerto Madryn,AR,2022-08-29 21:37:29,-42.7692,-65.0385,63.37,23,99,26.08
260,Ostrovnoy,RU,2022-08-29 21:41:43,68.0531,39.5131,48.0,84,82,25.66
261,Nioro,GM,2022-08-29 21:41:43,13.35,-15.75,74.57,95,100,5.17
262,Faanui,PF,2022-08-29 21:41:43,-16.4833,-151.75,77.94,74,11,10.11
263,Sao Gabriel Da Cachoeira,BR,2022-08-29 21:41:43,-0.1303,-67.0892,75.88,94,41,2.95
264,Hervey Bay,AU,2022-08-29 21:37:14,-25.2986,152.8535,67.06,68,98,10.45
265,Boone,US,2022-08-29 21:40:57,39.0334,-92.3335,88.65,62,27,19.64
266,Souillac,MU,2022-08-29 21:41:44,-20.5167,57.5167,68.38,88,40,0.0
267,Hasaki,JP,2022-08-29 21:41:44,35.7333,140.8333,70.29,90,100,13.53
268,Guerrero Negro,MX,2022-08-29 21:39:23,27.9769,-114.0611,77.56,63,18,16.2
269,Constitucion,CL,2022-08-29 21:40:56,-35.3333,-72.4167,55.26,85,59,8.28
270,Bambous Virieux,MU,2022-08-29 21:41:45,-20.3428,57.7575,68.25,88,40,0.0
271,Villa Corzo,MX,2022-08-29 21:41:45,16.1667,-93.25,81.88,69,72,3.33
272,Dickinson,US,2022-08-29 21:42:46,29.4608,-95.0513,82.09,93,75,10.36
273,Along,IN,2022-08-29 21:42:46,28.1667,94.7667,74.48,99,97,0.45
274,Nadym,RU,2022-08-29 21:42:46,65.5333,72.5167,53.69,94,100,15.9
275,Ancud,CL,2022-08-29 21:42:47,-41.8697,-73.8203,46.98,82,100,2.3
276,Maniitsoq,GL,2022-08-29 21:42:47,65.4167,-52.9,42.35,88,100,15.35
277,Port Moresby,PG,2022-08-29 21:42:47,-9.4431,147.1797,76.42,94,20,3.44
278,Tuktoyaktuk,CA,2022-08-29 21:42:47,69.4541,-133.0374,44.6,93,100,4.61
279,Kutum,SD,2022-08-29 21:42:48,14.2,24.6667,77.85,55,68,8.37
280,Tarko-Sale,RU,2022-08-29 21:41:44,64.9225,77.785,45.9,65,100,11.59
281,Kavieng,PG,2022-08-29 21:40:39,-2.5744,150.7967,82.92,72,63,12.37
282,Tual,ID,2022-08-29 21:42:48,-5.6667,132.75,79.92,85,41,18.1
283,Sinop,TR,2022-08-29 21:42:48,41.7711,34.8709,69.26,84,0,6.35
284,Hauterive,FR,2022-08-29 21:42:49,46.0901,3.4459,68.76,51,33,2.68
285,Solnechnyy,RU,2022-08-29 21:42:49,50.7214,136.6319,57.11,82,100,3.44
286,Ornskoldsvik,SE,2022-08-29 21:42:49,63.2909,18.7153,54.55,76,40,8.05
287,Nizhniy Ufaley,RU,2022-08-29 21:42:50,55.9153,59.9842,56.46,86,7,3.15
288,Henties Bay,,2022-08-29 21:42:50,-22.116,14.2845,53.38,86,1,3.13
289,Nabire,ID,2022-08-29 21:42:50,-3.3667,135.4833,76.51,90,93,2.89
